titles,category
윤 대통령  한동훈과 나란히 서천 화재 현장 방문,Politics
새 법무장관 후보자에 박성재 전 서울고검장 지명,Politics
공공기관 신규채용 심사 비용 응시자 부담했나   정부 합동 전수조사,Politics
한동훈   대통령에 대한 존중과 신뢰  전혀 변함 없다 ,Politics
 윤 한 갈등 에 김경율 거취 주목 비대위원 유지 놓고 당내 이견,Politics
제 지대 통합 시간표 나왔다  미래대연합 김종민   말 초 윤곽 나올것 ,Politics
민주  서천시장 화재는 윤석열 한동훈 정치쇼 소품 아냐 ,Politics
정부  UN서 중국에  탈북민 보호 방안 마련해야 ,Politics
     도 인사 하자     어깨 툭  쳐  민생 얘기만 주고 받았다 ,Politics
   여론조사  배 이상 차이 땐 단수추천 공관위  차 회의 결과 발표,Politics
 분기 은행 대출 문턱 내리고 비은행 높인다,Economy
 전통시장    만 원 vs  대형마트    만 원 설 차례상 비용 보니,Economy
한미약품 OCI 통합 갈등 점화 통합반대 가처분 신청   월 일 첫 심문,Economy
 한파 때문에  찜질방 이용료     ,Economy
한투운용   금현물 ETF  최근  년 원자재 개인 순매수  위,Economy
문체부  영종도 인스파이어 외국인 카지노 허가   년 만에 신규,Economy
대형마트 의무휴업 폐지 추진  시민과 현장 반응은 ,Economy
롯데온  매달 계열사 상품 반값 할인  월간 롯데  선봬,Economy
단통법 폐지 추진하지만 갤S   등 휴대폰 가격 인하까지는  첩첩산중 ,Economy
  노동이사제 주의하세요 무협   올해 달라진 법규 보고서  발간,Economy
서울 체감기온 영하   도 제주엔 눈보라에 강풍  하늘길 꽁꽁 막혔다,social
주호민 부부 아동학대로 신고 당해  근거 없는 허위 사실 ,social
서울시의회  모든 저출생 지원 정책에 소득 기준 폐지 추진,social
끊이지 않는 부산 산업재해   부산시  긴급 현장점검 회의,social
     은 내란  배포 논란 인천시의회 의장   불신임안 처리 불발,social
이경규 장도연  억대 출연료 못 받아 기획사 대표   횡령 혐의  집유,social
푸바오  월 초 중국 간다   월 초까지 일반에 공개,social
 대북송금혐의  김성태 전 쌍방울 회장  석방 보석 인용,social
 콘서트 티켓 팔아요    명에     만원  먹튀     대의 최후,social
 너흰 X대가리    삼성바이오로직스  괴롭힘 성희롱 만연했다,social
전국  꽁꽁  한파   광주 전남 눈   cm 더 온다 ,Culture
 오늘도 강추위 호남 서부 제주에 눈     날씨 ,Culture
 한 달에  회 마셔도 영향   수면장애 유발  이 음료 ,Culture
 오늘도 이어지는  북극 한파   아침 최저       도 오늘의 날씨 ,Culture
 넘버   감독 딸  데뷔작으로 오스카 작품 각본상 후보 종합 ,Culture
 이틀째 한파  춘천      도   제주 서해안  대설  날씨 ,Culture
불만 많은 토레스  차주와 직접 만난 정용원 KG모빌리티 대표,Culture
유인촌  한국은 웹툰 종주국 넷플릭스 같은 플랫폼 만들 것 ,Culture
인도 우즈벡까지 진동 퍼졌다  중국 신장자치구서 규모     지진,World
 푸틴  대선 전엔 방북 계획 없어   월 이후 갈듯 종합 보 ,World
러시아  키이우 등 대규모 공습  최소   명 사망 ,World
  보    뉴햄프셔 공화 경선  트럼프 승리   연승으로 대세론 확인,World
 이스라엘  하마스에  인질 전원 석방  개월 교전 중단  제안 ,World
 미스 일본  우승한 우크라 출신 귀화인 반응 갈려 영상 ,World
 러시아  사용 신호 지구종말시계   남은 시간은   초 ,World
일왕 외동딸  적십자사 취직  사회에 도움 됐으면 ,World
LG유플러스  AI 탑재 고객 의견 분석 시스템  VOC 랩  운영,IT
SK텔레콤  갤럭시S   예약 판매량  전작 상회 ,IT
삼성SDS  올해 사이버 보안 최대 화두  AI 위협  제시,IT
세계적 뇌과학자 김대수 KAIST 교수   수면장애  정복 나섰다,IT
   게임규제 초안 돌연 삭제 철회 기대감  고조 ,IT
KT  경로당 어르신 위한  지니 TV 버스정보 알리미  출시,IT
전국민 AI 일상화 가속화 과기정통부  분야별 현장 소통,IT
네이버  국내 최초 생성형 AI 활용한 광고 시작  CLOVA for AD  첫 선,IT
